Generation	CellName	Probability_BASALB	Probability_BASALA
3	SUM102	0.5998990510325387	0.4001009489674613
3	MACLS2	0.031843387038410595	0.9681566129615894
3	MDAMB157	0.9874256269579882	0.01257437304201181
3	HCC1143	0.11982840047892333	0.8801715995210767
3	MDAMB468	0.14200894240372003	0.8579910575962799
3	CAL51	0.9911516193395312	0.00884838066046878
3	SUM229	0.14632979232514698	0.853670207674853
4	HCC1937	0.04622691705322975	0.9537730829467702
4	BT20	0.05053649691498062	0.9494635030850194
4	HCC1187	0.18689660083786935	0.8131033991621306
4	DU4475	0.8005889076765261	0.19941109232347387
4	CAL120	0.9398525450206976	0.060147454979302406
4	BT20	0.1333204141429758	0.8666795858570242
4	MDAMB468	0.09281769020823784	0.9071823097917622
4	CAL851	0.1317656430884621	0.8682343569115379
4	HCC1500	0.1400219170661143	0.8599780829338857
4	HCC1937	0.04110174820027958	0.9588982517997204
4	HCC1954	0.02511952689455593	0.9748804731054441
4	HCC38	0.5757942444316525	0.4242057555683475
4	MDAMB157	0.9832756441012875	0.016724355898712462
4	HCC1806	0.1656060341011743	0.8343939658988258
4	HDQP1	0.1148235525760629	0.8851764474239371
4	BT549	0.9911176216599011	0.008882378340098862
4	MDAMB436	0.978887688613833	0.021112311386166982
4	CAL51	0.9818477763345808	0.018152223665419243
4	HCC3153	0.06092017240854726	0.9390798275914527
4	SW527	0.9515670836020753	0.048432916397924686
4	HCC1143	0.12634719440045433	0.8736528055995456
4	HCC1395	0.9777029148052323	0.022297085194767696
4	SUM159	0.9986057475530028	0.0013942524469972017
4	HCC2157	0.07381332012476524	0.9261866798752347
4	UACC3199	0.5585032541865452	0.44149674581345477
4	HCC1187	0.11702352774248712	0.8829764722575129
4	HBL100	0.9971840484492008	0.0028159515507991673
4	HCC1599	0.13687507591117265	0.8631249240888273
4	MDAMB436	0.9836911798743158	0.016308820125684242
4	HCC1954	0.03271169446524052	0.9672883055347595
4	HCC70	0.04006233526601161	0.9599376647339883
4	BT549	0.9944649054697642	0.005535094530235818
4	SUM149	0.07404044282760658	0.9259595571723934
4	CAL851	0.06929957720639913	0.9307004227936009
4	HCC38	0.42520401046147255	0.5747959895385275
4	HS578T	0.9887123588475061	0.011287641152493921
4	HCC1599	0.05802724285171186	0.9419727571482881
4	HCC70	0.015136983079675977	0.9848630169203241
4	MDAMB231	0.9860661305593447	0.013933869440655333
4	HCC1806	0.08805466416654889	0.911945335833451
4	MB157	0.7952506197675424	0.2047493802324576
4	MDAMB231	0.970044893923862	0.02995510607613805
4	SKBR7	0.9109806899354451	0.08901931006455488
4	Hs_578T	0.9609839055939214	0.03901609440607856
4	SUM1315	0.963367153613899	0.03663284638610098
4	HMC18	0.9869523748828933	0.013047625117106665
4	DU4475	0.7181710545768237	0.28182894542317627
4	CAL120	0.9574850449482003	0.0425149550517997
4	HCC1395	0.9852129257815718	0.014787074218428176
4	MX1	0.0805651044899947	0.9194348955100053
4	JIMT1	0.1204253583509222	0.8795746416490778
4	HCC1569	0.12902613434191987	0.8709738656580801
4	HCC1569	0.2111349077354352	0.7888650922645648
4	HDQP1	0.20249924555359652	0.7975007544464034
4	JIMT1	0.07772048245990161	0.9222795175400984
4	SUM102	0.568918592136609	0.431081407863391
4	MACLS2	0.039530112564470456	0.9604698874355295
4	MDAMB157	0.9937140340318587	0.006285965968141349
4	HCC1143	0.12538725551156188	0.8746127444884382
4	MDAMB468	0.14951664225273228	0.8504833577472677
4	CAL51	0.9936970182963212	0.006302981703678823
4	SUM229	0.11377031493376025	0.8862296850662398
5	HCC1937	0.03579723379180352	0.9642027662081964
5	BT20	0.051848554016954006	0.948151445983046
5	HCC1187	0.18282057892045875	0.8171794210795412
5	DU4475	0.8049617252580472	0.1950382747419528
5	CAL120	0.9320351296639158	0.06796487033608423
5	BT20	0.1332566284788833	0.8667433715211167
5	MDAMB468	0.09846900160909447	0.9015309983909056
5	CAL851	0.12302979544537002	0.8769702045546299
5	HCC1500	0.15935873741541243	0.8406412625845876
5	HCC1937	0.04066332951001674	0.9593366704899833
5	HCC1954	0.023560948457291904	0.976439051542708
