Generation	CellName	Probability_BASALB	Probability_BASALA
1	MDAMB468	0.04221601534817817	0.9577839846518218
1	MX1	0.13008039178661063	0.8699196082133893
1	SKBR7	0.9579469385202014	0.04205306147979859
1	SUM102	0.6852217273663083	0.31477827263369174
1	SUM1315	0.987700933794158	0.01229906620584198
1	SUM149	0.10598598636837549	0.8940140136316245
1	SUM159	0.984664973967516	0.015335026032484045
1	SUM229	0.2219794129455012	0.7780205870544988
1	SW527	0.896991105326733	0.10300889467326702
1	UACC3199	0.6878452605345783	0.3121547394654217
1	CAL120.1	0.9694405237517553	0.030559476248244732
1	HCC38.1	0.6798756956403208	0.3201243043596792
1	HCC1599.1	0.04356038468385831	0.9564396153161416
1	HCC1395.1	0.9629165471799167	0.037083452820083296
1	MDAMB468.1	0.012907656960197387	0.9870923430398026
1	MDAMB231.1	0.9754344125243601	0.02456558747563986
1	HCC1954.1	0.015061344469387103	0.9849386555306129
1	JIMT1.1	0.03539673282442626	0.9646032671755738
1	HDQP1.1	0.05330090598216255	0.9466990940178375
1	HMC18	0.9454583639970112	0.05454163600298878
1	BT20.1	0.02402807710241033	0.9759719228975897
1	HCC1806.1	0.15790836727738378	0.8420916327226162
1	HCC2157	0.06703287796861056	0.9329671220313894
1	HCC1500	0.13144909971169388	0.8685509002883061
1	HCC1143.1	0.04565900275340387	0.9543409972465962
1	CAL51.1	0.9164736732253181	0.08352632677468186
1	CAL851.1	0.08820343703042198	0.911796562969578
1	HCC1569.1	0.179863819432955	0.820136180567045
1	HCC70.1	0.00453399004217577	0.9954660099578242
1	DU4475.1	0.830077242419743	0.169922757580257
1	HCC1937.1	0.007277520445774451	0.9927224795542255
2	Hs_578T	0.9838408809203432	0.016159119079656836
2	HCC1187	0.06760970763098222	0.9323902923690178
2	MDAMB157	0.9823102652019494	0.017689734798050583
2	MDAMB436	0.9664019003498748	0.03359809965012517
2	BT549	0.9932416946847762	0.0067583053152238115
2	BT20	0.049599997891354136	0.9504000021086458
2	BT549.1	0.9756202105233506	0.024379789476649427
2	CAL120	0.9842846875865359	0.015715312413464133
2	CAL51	0.957042283022429	0.042957716977571
2	CAL851	0.038819316124862675	0.9611806838751373
2	DU4475	0.8829417159604199	0.11705828403958007
2	HBL100	0.9764013988195703	0.023598601180429668
2	HCC1143	0.078599992020163	0.921400007979837
2	HCC1187.1	0.11423091907271163	0.8857690809272883
2	HCC1395	0.9768870019931285	0.0231129980068715
2	HCC1569	0.15591950449067013	0.8440804955093298
2	HCC1599	0.02613867261589427	0.9738613273841057
2	HCC1806	0.10943996209907934	0.8905600379009206
2	HCC1937	0.014079677707031363	0.9859203222929687
2	HCC1954	0.038632103150938964	0.961367896849061
2	HCC3153	0.07083987497614264	0.9291601250238574
2	HCC38	0.7563958058566564	0.24360419414334356
2	HCC70	0.025073272738322595	0.9749267272616774
2	HDQP1	0.01999625554697932	0.9800037444530206
2	HS578T	0.9950273459405135	0.004972654059486548
2	JIMT1	0.05395916358840101	0.946040836411599
2	MACLS2	0.07942815503415578	0.9205718449658442
2	MB157	0.8042391740953247	0.19576082590467525
2	MDAMB157.1	0.9761805763193282	0.023819423680671803
