;TotalScore_MES;TotalDispersion_MES;TotalScore_EPI;TotalDispersion_EPI
TCGA.AC.A3YI.01;0.263551075202659;5245.4388;0.260557270729864;4091.2347
TCGA.AC.A3YJ.01;0.100050423014224;4326.2268;0.27496520590334;3748.7541
TCGA.AC.A4ZE.01;0.152121780515446;4782.8676;0.277828919016298;3848.8296
TCGA.AC.A5EH.01;0.23197355267491;5046.7704;0.283984471588942;3473.7318
TCGA.AC.A5XS.01;0.206041591222587;5352.186;0.283666202745378;3963.7311
TCGA.AC.A5XU.01;0.180030230369597;5134.2438;0.241390492204003;5226.9063
TCGA.AC.A62V.01;0.1496094194058;4815.4848;0.26837481543233;4232.0817
TCGA.AC.A62X.01;0.104149014216887;4932.6102;0.240529647396271;5201.7021
TCGA.AC.A62Y.01;0.195521024140934;4975.6056;0.283748860802419;3351.4173
TCGA.AC.A6IV.01;0.292539767087278;3875.5164;0.230643178590857;5120.9004
TCGA.AC.A6IW.01;0.164909185836788;5163.8958;0.194353112393763;6389.2647
TCGA.AC.A6IX.01;0.246734223544178;4788.798;0.288603078836005;3759.8736
TCGA.AC.A6IX.06;0.198794564744791;5024.5314;0.318189717902887;3101.5992
TCGA.AC.A6NO.01;0.138628863176375;4643.5032;0.294601793044007;2859.9354
TCGA.AC.A7VB.01;0.0546884613626695;3192.0378;0.274531427723654;3904.4271
TCGA.AC.A7VC.01;0.255348033062965;4864.4106;-0.0369693458709827;3705.7587
TCGA.AC.A8OP.01;0.195684217743041;4450.7652;0.283363829682014;3269.133
TCGA.AC.A8OQ.01;0.24822523295374;4258.0272;0.197978409998093;6770.2929
TCGA.AC.A8OR.01;0.0595792886516869;3866.6208;0.283156478060291;3711.6891
TCGA.AC.A8OS.01;0.255627542392248;4455.213;0.269723484072428;3966.6963
TCGA.AN.A03X.01;0.269289806054512;4664.2596;0.254541954262542;4819.1913
TCGA.AN.A03Y.01;0.148288635279585;4166.106;0.23306251633733;4775.4546
TCGA.AN.A041.01;0.209944467297408;4818.45;0.288815375811568;4147.5735
TCGA.AN.A046.01;0.209733223873495;5030.4618;0.252446537192593;4215.0318
TCGA.AN.A049.01;0.206675321494326;4833.276;0.290079266957265;3439.632
TCGA.AN.A04A.01;0.238254601942385;4622.7468;0.28603997258861;4059.3588
TCGA.AN.A04C.01;0.135251019300793;4081.5978;0.327570347658375;3280.9938
TCGA.AN.A04D.01;0.0944789875785351;4000.0548;0.216599786643306;5578.2825
TCGA.AN.A0AJ.01;0.192620748616224;4634.6076;0.256466756625008;4313.6247
TCGA.AN.A0AK.01;0.113845702646608;3212.7942;0.303088373473122;2963.7174
TCGA.AN.A0AL.01;0.247263064570757;4382.5656;0.285827322373487;3873.2925
TCGA.AN.A0AM.01;0.18184293919588;5160.9306;0.264311500773595;4337.3463
TCGA.AN.A0AR.01;0.11103771793817;4951.884;0.195152493518054;6265.4676
TCGA.AN.A0AS.01;0.231764360158025;5613.1236;0.276898839254806;3646.4547
TCGA.AN.A0AT.01;0.153004842484481;4240.236;0.200807858873731;5940.0369
TCGA.AN.A0FD.01;0.215582410718157;4942.9884;0.270212720863035;4083.0804
TCGA.AN.A0FF.01;0.188710547873444;4521.93;0.292001596642811;3727.2564
TCGA.AN.A0FJ.01;0.197977717774098;5498.9634;0.198574678375381;5638.3278
TCGA.AN.A0FK.01;0.141032526213522;4268.4054;0.306327933477926;3091.9623
TCGA.AN.A0FL.01;0.119047095857051;4819.9326;0.267958699230644;3654.609
TCGA.AN.A0FN.01;0.336495392490868;2993.3694;0.206549414682049;5041.5813
TCGA.AN.A0FS.01;0.25488511404801;4720.5984;0.26688485096823;4037.8611
TCGA.AN.A0FT.01;0.202302787710028;5223.1998;0.302298883056511;3564.1704
TCGA.AN.A0FV.01;0.197722819329154;4950.4014;0.291359053883163;3838.4514
TCGA.AN.A0FW.01;0.195057226165823;4376.6352;0.294042261580959;4122.3693
TCGA.AN.A0FX.01;0.221782595651374;4908.8886;0.201976022098667;6820.7013
TCGA.AN.A0FY.01;0.190483410506035;5653.1538;0.263483154005383;4238.7534
TCGA.AN.A0FZ.01;0.159311967569886;4213.5492;0.299325312440391;3581.9616
TCGA.AN.A0G0.01;0.164518634541259;4711.7028;0.252445124234353;4562.7015
TCGA.AN.A0XL.01;0.2673455461917;4536.756;0.263040544836697;4416.6654
TCGA.AN.A0XN.01;0.298738487086903;3805.8342;0.221464248624132;4961.5209
TCGA.AN.A0XO.01;0.181563429866597;5540.4762;0.305976813355281;3187.59
TCGA.AN.A0XP.01;0.169866228124147;4862.928;0.314574311006238;3099.3753
TCGA.AN.A0XR.01;0.109822995003991;4570.8558;0.290889598507916;3022.2801
TCGA.AN.A0XS.01;0.23999699395627;4940.0232;0.247908821804772;4796.211
TCGA.AN.A0XT.01;0.17761426189028;5672.4276;0.297707475255569;3255.0483
TCGA.AN.A0XU.01;0.18131614907633;5381.838;0.213293111122101;6103.8642
