Generation	CellName	Probability_BASALB	Probability_BASALA
1	MDAMB468	0.03951777931219322	0.9604822206878068
1	MX1	0.1758691965138751	0.8241308034861249
1	SKBR7	0.9432407028527254	0.05675929714727457
1	SUM102	0.6861450964201107	0.3138549035798893
1	SUM1315	0.9846466334208397	0.01535336657916031
1	SUM149	0.12923073014124345	0.8707692698587566
1	SUM159	0.9864485782057244	0.013551421794275598
1	SUM229	0.21581812328841074	0.7841818767115892
1	SW527	0.907531504254977	0.09246849574502303
1	UACC3199	0.6897411044372606	0.31025889556273945
1	CAL120.1	0.9669171909716566	0.033082809028343374
1	HCC38.1	0.7139664398685523	0.28603356013144765
1	HCC1599.1	0.04694125152928557	0.9530587484707145
1	HCC1395.1	0.9650030104885158	0.03499698951148422
1	MDAMB468.1	0.007093026733105393	0.9929069732668946
1	MDAMB231.1	0.9814519797948279	0.0185480202051721
1	HCC1954.1	0.029328678443814284	0.9706713215561857
1	JIMT1.1	0.05323150268939758	0.9467684973106024
1	HDQP1.1	0.05029215072779802	0.949707849272202
1	HMC18	0.935899890758683	0.06410010924131704
1	BT20.1	0.03300071105981411	0.9669992889401859
1	HCC1806.1	0.11472921452713192	0.8852707854728681
1	HCC2157	0.06872726362942369	0.9312727363705763
1	HCC1500	0.13266776180387738	0.8673322381961226
1	HCC1143.1	0.06280009301669118	0.9371999069833088
1	CAL51.1	0.926622374570837	0.07337762542916304
1	CAL851.1	0.05902124673207211	0.9409787532679279
1	HCC1569.1	0.15277736331650485	0.8472226366834952
1	HCC70.1	0.006921866725748528	0.9930781332742514
1	DU4475.1	0.8462153771488095	0.15378462285119054
1	HCC1937.1	0.009760318222315675	0.9902396817776843
2	Hs_578T	0.9843664981020376	0.01563350189796242
2	HCC1187	0.07920719177069944	0.9207928082293005
2	MDAMB157	0.9803523792146568	0.01964762078534321
2	MDAMB436	0.9649404918701225	0.03505950812987746
2	BT549	0.9902772991182017	0.009722700881798274
2	BT20	0.03969171230524746	0.9603082876947525
2	BT549.1	0.9762879151225212	0.02371208487747878
2	CAL120	0.9634342119875101	0.036565788012489886
2	CAL51	0.9472138151499195	0.052786184850080464
2	CAL851	0.058066965017482285	0.9419330349825177
2	DU4475	0.8947070504804955	0.10529294951950452
2	HBL100	0.9691116685996473	0.030888331400352742
2	HCC1143	0.07776951265858936	0.9222304873414107
2	HCC1187.1	0.11011687388390412	0.8898831261160959
2	HCC1395	0.9659640635590673	0.034035936440932724
2	HCC1569	0.12595738365838832	0.8740426163416117
2	HCC1599	0.0404749087398346	0.9595250912601654
2	HCC1806	0.128487948622965	0.871512051377035
2	HCC1937	0.026682941101437593	0.9733170588985625
2	HCC1954	0.03998681347912116	0.9600131865208789
2	HCC3153	0.09246097370558676	0.9075390262944132
2	HCC38	0.746130037901011	0.25386996209898904
2	HCC70	0.02051450194509995	0.9794854980549
2	HDQP1	0.06297012009756095	0.937029879902439
2	HS578T	0.9928603148152809	0.00713968518471908
2	JIMT1	0.06143361541144183	0.9385663845885581
2	MACLS2	0.08849439589448932	0.9115056041055107
2	MB157	0.8464074321844527	0.1535925678155473
2	MDAMB157.1	0.9675532536989103	0.03244674630108968
